"File","Line","Note","Text"
"\Backend\PlantProcess.Api\Endpoints\Admin\TwoStageImportEndpoints.cs","380","no tenant_id on this line - verify the surrounding query is tenant-scoped","FROM public.ppiq_run_two_stage_full_cycle("
"\Backend\PlantProcess.Api\Endpoints\Analytics\AdvancedResultsEndpoints.cs","24","no tenant_id on this line - verify the surrounding query is tenant-scoped","""FROM public.ml_correlation_compute_runs ORDER BY completed_at_utc DESC NULLS LAST LIMIT 50"", null, ct)));"
"\Backend\PlantProcess.Api\Endpoints\Analytics\AdvancedResultsEndpoints.cs","32","no tenant_id on this line - verify the surrounding query is tenant-scoped","""SELECT id FROM public.ml_correlation_compute_runs WHERE engine_key IN ('dotnet-analytics-core-v1','managed-stat-v1') "" +"
"\Backend\PlantProcess.Api\Endpoints\Analytics\AdvancedResultsEndpoints.cs","45","no tenant_id on this line - verify the surrounding query is tenant-scoped","""FROM public.ml_correlation_results_v2 r "" +"
"\Backend\PlantProcess.Api\Endpoints\Analytics\MlFoundationEndpoints.cs","41","no tenant_id on this line - verify the surrounding query is tenant-scoped","(SELECT count(*) FROM public.ml_feature_definitions WHERE is_deleted = false) AS feature_definitions,"
"\Backend\PlantProcess.Api\Endpoints\Analytics\MlFoundationEndpoints.cs","42","no tenant_id on this line - verify the surrounding query is tenant-scoped","(SELECT count(*) FROM public.ml_feature_values) AS feature_values,"
"\Backend\PlantProcess.Api\Endpoints\Analytics\MlFoundationEndpoints.cs","43","no tenant_id on this line - verify the surrounding query is tenant-scoped","(SELECT count(*) FROM public.ml_outcome_definitions WHERE is_deleted = false) AS outcome_definitions,"
"\Backend\PlantProcess.Api\Endpoints\Analytics\MlFoundationEndpoints.cs","44","no tenant_id on this line - verify the surrounding query is tenant-scoped","(SELECT count(*) FROM public.ml_outcome_values) AS outcome_values,"
"\Backend\PlantProcess.Api\Endpoints\Analytics\MlFoundationEndpoints.cs","45","no tenant_id on this line - verify the surrounding query is tenant-scoped","(SELECT count(*) FROM public.ml_correlation_results_v2) AS correlation_results,"
"\Backend\PlantProcess.Api\Endpoints\Analytics\MlFoundationEndpoints.cs","46","no tenant_id on this line - verify the surrounding query is tenant-scoped","(SELECT count(*) FROM public.ml_knowledge_base_items WHERE is_deleted = false) AS kb_items,"
"\Backend\PlantProcess.Api\Endpoints\Analytics\MlFoundationEndpoints.cs","71","no tenant_id on this line - verify the surrounding query is tenant-scoped","""SELECT feature_rows, outcome_rows, run_id FROM public.ppiq_ml_refresh_feature_store(@window_days);"","
"\Backend\PlantProcess.Api\Endpoints\Analytics\MlFoundationEndpoints.cs","105","no tenant_id on this line - verify the surrounding query is tenant-scoped","FROM public.ml_feature_definitions"
"\Backend\PlantProcess.Api\Endpoints\Analytics\MlFoundationEndpoints.cs","134","no tenant_id on this line - verify the surrounding query is tenant-scoped","FROM public.ml_outcome_definitions"
"\Backend\PlantProcess.Api\Endpoints\Analytics\MlFoundationEndpoints.cs","233","no tenant_id on this line - verify the surrounding query is tenant-scoped","FROM public.ppiq_ml_search_kb("
"\Backend\PlantProcess.Api\Endpoints\Analytics\MlLearningEndpoints.cs","42","no tenant_id on this line - verify the surrounding query is tenant-scoped","FROM public.ppiq_ml_phase45_acceptance()"
"\Backend\PlantProcess.Api\Endpoints\Analytics\MlLearningEndpoints.cs","77","no tenant_id on this line - verify the surrounding query is tenant-scoped","FROM public.ml_learning_job_catalog_v1"
"\Backend\PlantProcess.Api\Endpoints\Analytics\MlLearningEndpoints.cs","112","no tenant_id on this line - verify the surrounding query is tenant-scoped","FROM public.ppiq_ml_run_learning_job_governed_v1(@jobCode, @windowDays, 20, false)"
"\Backend\PlantProcess.Api\Endpoints\Analytics\MlLearningEndpoints.cs","200","no tenant_id on this line - verify the surrounding query is tenant-scoped","FROM public.ml_learning_results_v1"
"\Backend\PlantProcess.Api\Endpoints\Analytics\Phase2InvestigationEndpoints.cs","164","no tenant_id on this line - verify the surrounding query is tenant-scoped","FROM public.inspection_jobs"
"\Backend\PlantProcess.Api\Endpoints\Analytics\Phase2InvestigationEndpoints.cs","309","no tenant_id on this line - verify the surrounding query is tenant-scoped","FROM public.ml_job_lifecycle_states"
"\Backend\PlantProcess.Api\Endpoints\Analytics\ProvenanceGuardedAdvancedResultsEndpoints.cs","29","no tenant_id on this line - verify the surrounding query is tenant-scoped","""FROM public.ml_correlation_compute_runs "" +"
"\Backend\PlantProcess.Infrastructure\Analytics\NpgsqlFeatureVectorLoader.cs","31","no tenant_id on this line - verify the surrounding query is tenant-scoped","""SELECT outcome_type FROM public.ml_outcome_definitions WHERE lower(outcome_key)=lower(@k) AND is_deleted=false ORDER BY version DESC LIMIT 1"", conn))"
"\Backend\PlantProcess.Infrastructure\Analytics\NpgsqlFeatureVectorLoader.cs","43","no tenant_id on this line - verify the surrounding query is tenant-scoped","FROM public.ml_outcome_values"
"\Backend\PlantProcess.Infrastructure\Analytics\NpgsqlFeatureVectorLoader.cs","46","no tenant_id on this line - verify the surrounding query is tenant-scoped","(SELECT max(observed_at_utc) FROM public.ml_outcome_values WHERE lower(outcome_key)=lower(@k) AND grain=@g),"
"\Backend\PlantProcess.Infrastructure\Analytics\NpgsqlFeatureVectorLoader.cs","67","no tenant_id on this line - verify the surrounding query is tenant-scoped","""SELECT lower(feature_key), value_type FROM public.ml_feature_definitions WHERE is_deleted=false ORDER BY version DESC"", conn))"
"\Backend\PlantProcess.Infrastructure\Analytics\NpgsqlFeatureVectorLoader.cs","81","no tenant_id on this line - verify the surrounding query is tenant-scoped","FROM public.ml_feature_values"
"\Backend\PlantProcess.Infrastructure\Analytics\NpgsqlFeatureVectorLoader.cs","84","no tenant_id on this line - verify the surrounding query is tenant-scoped","(SELECT max(observed_at_utc) FROM public.ml_feature_values WHERE grain=@g),"
"\Backend\PlantProcess.Infrastructure\Analytics\NpgsqlRiskCalibrationProvider.cs","34","no tenant_id on this line - verify the surrounding query is tenant-scoped","""       EXISTS (SELECT 1 FROM public.quality_events qe "" +"
"\Backend\PlantProcess.Infrastructure\Analytics\NpgsqlRiskCalibrationProvider.cs","37","no tenant_id on this line - verify the surrounding query is tenant-scoped","""FROM public.risk_scores rs "" +"
"\Backend\PlantProcess.Infrastructure\Analytics\PostgresCorrelationComputeEngine.cs","33","no tenant_id on this line - verify the surrounding query is tenant-scoped","command.CommandText = $""SELECT * FROM public.{functionName}(@outcomeKey, @grain, @windowDays);"";"
"\Backend\PlantProcess.Infrastructure\Assistant\AssistantTools.cs","23","no tenant_id on this line - verify the surrounding query is tenant-scoped","""SELECT rs.id, rs.risk_type, rs.score, rs.risk_class FROM public.risk_scores rs "" +"
"\Backend\PlantProcess.Infrastructure\Migrations\20260524110553_HardenAuditLogEntrySchemaAndImmutability.cs","59","no tenant_id on this line - verify the surrounding query is tenant-scoped","UPDATE public.audit_log_entries"
"\Backend\PlantProcess.Infrastructure\Migrations\20260524110553_HardenAuditLogEntrySchemaAndImmutability.cs","63","no tenant_id on this line - verify the surrounding query is tenant-scoped","UPDATE public.audit_log_entries"
"\Backend\PlantProcess.Infrastructure\Migrations\20260524110553_HardenAuditLogEntrySchemaAndImmutability.cs","67","no tenant_id on this line - verify the surrounding query is tenant-scoped","UPDATE public.audit_log_entries"
"\Backend\PlantProcess.Infrastructure\Provenance\NpgsqlProvenanceResolver.cs","43","no tenant_id on this line - verify the surrounding query is tenant-scoped","await using (var runCmd = _dataSource.CreateCommand(""SELECT 1 FROM public.ml_correlation_compute_runs WHERE id = @id""))"
"\Backend\PlantProcess.Infrastructure\Provenance\NpgsqlProvenanceResolver.cs","51","no tenant_id on this line - verify the surrounding query is tenant-scoped","""SELECT COALESCE(mu.is_synthetic, false) FROM public.risk_scores rs "" +"
"\Backend\PlantProcess.Infrastructure\Provenance\NpgsqlProvenanceResolver.cs","105","no tenant_id on this line - verify the surrounding query is tenant-scoped","await using var cmd = _dataSource.CreateCommand(""SELECT 1 FROM public.document_sections WHERE id::text = @id"");"
