"File","Line","Classification","Text"
"\Backend\PlantProcess.Api\Security\AuthEndpoints.cs","238","REVIEW","TenantId: Guid.Parse(""00000000-0000-0000-0000-000000000001""),"
"\Backend\PlantProcess.Api\Security\P01P02SecuritySchema.cs","26","REVIEW","VALUES ('00000000-0000-0000-0000-000000000001', 'default-demo', 'Default Demo Tenant', 'Demo', true)"
"\Backend\PlantProcess.Api\Security\P01P02SecuritySchema.cs","169","REVIEW","SET tenant_id = '00000000-0000-0000-0000-000000000001'"
"\Backend\PlantProcess.Api\Security\PlantAccessControl.cs","154","REVIEW","TenantId: user.FindFirstValue(""tenant_id"") ?? ""00000000-0000-0000-0000-000000000001"","
"\Backend\PlantProcess.Api\Security\PlantAccessControl.cs","256","REVIEW","var tokenTenantId = context.User.FindFirstValue(""tenant_id"") ?? ""00000000-0000-0000-0000-000000000001"";"
"\Backend\PlantProcess.Api\Swagger\SwaggerExamplesOperationFilter.cs","135","REVIEW","""sourceSystemDefinitionId"": ""00000000-0000-0000-0000-000000000001"","
"\Backend\PlantProcess.Api\Swagger\SwaggerExamplesOperationFilter.cs","147","REVIEW","""sourceSystemDefinitionId"": ""00000000-0000-0000-0000-000000000001"","
"\Backend\PlantProcess.Application\Analytics\Advanced\AdvancedReadiness.cs","12","REVIEW","public static readonly Guid DemoTenant = Guid.Parse(""00000000-0000-0000-0000-000000000001"");"
"\Backend\PlantProcess.Api\Security\AuthStore.cs","89","RUNTIME (replace with ITenantAccessor.TenantId)","('00000000-0000-0000-0000-000000000001', @user_name, lower(@user_name), @display_name, @hash, @salt, @iterations,"
