schema,object,constraint,referenced_schema,referenced_object,definition
ppiq_plant,parameter_observations,fk_parameter_observations_process_step_executions_process_step,ppiq_plant,process_step_executions,FOREIGN KEY (process_step_execution_id) REFERENCES ppiq_plant.process_step_executions(id) ON DELETE SET NULL
ppiq_plant,plant_data_log,plant_data_log_alert_rule_id_fkey,ppiq_meta,alert_rules,FOREIGN KEY (alert_rule_id) REFERENCES ppiq_meta.alert_rules(id) ON DELETE CASCADE
ppiq_plant,process_events,fk_process_events_material_units_material_unit_id,ppiq_plant,material_units,FOREIGN KEY (material_unit_id) REFERENCES ppiq_plant.material_units(id) ON DELETE SET NULL
ppiq_plant,process_events,fk_process_events_process_step_executions_process_step_executi,ppiq_plant,process_step_executions,FOREIGN KEY (process_step_execution_id) REFERENCES ppiq_plant.process_step_executions(id) ON DELETE SET NULL
ppiq_plant,process_step_executions,fk_process_step_executions_material_units_material_unit_id,ppiq_plant,material_units,FOREIGN KEY (material_unit_id) REFERENCES ppiq_plant.material_units(id) ON DELETE RESTRICT
ppiq_plant,process_step_executions,fk_process_step_executions_operation_definitions_operation_def,ppiq_meta,operation_definitions,FOREIGN KEY (operation_definition_id) REFERENCES ppiq_meta.operation_definitions(id) ON DELETE RESTRICT
ppiq_plant,quality_events,fk_quality_events_defect_catalogs_defect_catalog_id,ppiq_meta,defect_catalogs,FOREIGN KEY (defect_catalog_id) REFERENCES ppiq_meta.defect_catalogs(id) ON DELETE SET NULL
ppiq_plant,quality_events,fk_quality_events_material_units_material_unit_id,ppiq_plant,material_units,FOREIGN KEY (material_unit_id) REFERENCES ppiq_plant.material_units(id) ON DELETE RESTRICT
ppiq_plant,risk_scores,fk_risk_scores_material_units_material_unit_id,ppiq_plant,material_units,FOREIGN KEY (material_unit_id) REFERENCES ppiq_plant.material_units(id) ON DELETE RESTRICT
ppiq_plant,suggestion,suggestion_superseded_by_fkey,ppiq_plant,suggestion,FOREIGN KEY (superseded_by) REFERENCES ppiq_plant.suggestion(id) ON DELETE SET NULL
ppiq_plant,suggestion_comment,suggestion_comment_suggestion_id_fkey,ppiq_plant,suggestion,FOREIGN KEY (suggestion_id) REFERENCES ppiq_plant.suggestion(id) ON DELETE CASCADE
ppiq_staging,edge_collector_batches,edge_collector_batches_collector_id_fkey,ppiq_meta,edge_collectors,FOREIGN KEY (collector_id) REFERENCES ppiq_meta.edge_collectors(id)
ppiq_staging,edge_collector_buffer_status,edge_collector_buffer_status_collector_id_fkey,ppiq_meta,edge_collectors,FOREIGN KEY (collector_id) REFERENCES ppiq_meta.edge_collectors(id)
ppiq_staging,import_batches,fk_import_batches_source_system_definitions_source_system_defi,ppiq_meta,source_system_definitions,FOREIGN KEY (source_system_definition_id) REFERENCES ppiq_meta.source_system_definitions(id) ON DELETE RESTRICT
ppiq_staging,ppiq_connector_runtime_readings,ppiq_connector_runtime_readings_source_id_fkey,ppiq_meta,ppiq_connector_runtime_sources,FOREIGN KEY (source_id) REFERENCES ppiq_meta.ppiq_connector_runtime_sources(id) ON DELETE CASCADE
ppiq_staging,ppiq_connector_sync_checkpoints,ppiq_connector_sync_checkpoints_connector_id_fkey,ppiq_meta,ppiq_plant_connectors,FOREIGN KEY (connector_id) REFERENCES ppiq_meta.ppiq_plant_connectors(id) ON DELETE CASCADE
ppiq_staging,ppiq_connector_telemetry_samples,ppiq_connector_telemetry_samples_connector_id_fkey,ppiq_meta,ppiq_plant_connectors,FOREIGN KEY (connector_id) REFERENCES ppiq_meta.ppiq_plant_connectors(id) ON DELETE CASCADE
ppiq_staging,staging_records,fk_staging_records_import_batches_import_batch_id,ppiq_staging,import_batches,FOREIGN KEY (import_batch_id) REFERENCES ppiq_staging.import_batches(id) ON DELETE RESTRICT
