schema,object,kind,logical_family,lifecycle,owner,purpose,creator_authority,primary_key,retention,rls,rls_forced,policy_count,naming,compatibility_state,classified_by
ppiq_meta,model_registries,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,operation_definitions,table,definition-authority,current,Worker 1,,UNKNOWN,PRIMARY KEY (id),permanent,off,not_forced,0,conforming,none,rule
ppiq_meta,outcome_details,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,"PRIMARY KEY (definition_version_id, outcome_code)",UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,page_definition_audit,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/141_phase03_page_builder_foundation.sql,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,page_definition_shares,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/141_phase03_page_builder_foundation.sql,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,page_definitions,table,definition-authority,current,Worker 1,,Backend/database/scripts/141_phase03_page_builder_foundation.sql,PRIMARY KEY (id),permanent,off,not_forced,0,conforming,none,rule
ppiq_meta,page_details,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (definition_version_id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,parameter_definitions,table,definition-authority,current,Worker 1,,UNKNOWN,PRIMARY KEY (id),permanent,off,not_forced,0,conforming,none,rule
ppiq_meta,parameter_signal_semantics_history,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,plant_relationship_members,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
