"RelativePath","Category","CategoryTitle","Classification","Extension","Lines","SizeBytes","SizeKB","LastWriteTime"
"Backend\PlantProcess.Api\Middleware\CorrelationIdMiddleware.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","API Middleware",".cs","67","3206","3.13","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Api\Middleware\RequestResponseLoggingMiddleware.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","API Middleware",".cs","125","4478","4.37","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Api\Options\PlantProcessOptions.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".cs","16","487","0.48","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Api\PlantProcess.Api.csproj","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".csproj","34","1725","1.68","5/19/2026 6:16:30 PM"
"Backend\PlantProcess.Api\PlantProcess.Api.http","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".http","6","145","0.14","5/6/2026 8:48:35 PM"
"Backend\PlantProcess.Api\PlantProcess.PhaseH_I.http","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".http","56","1303","1.27","5/11/2026 3:36:51 PM"
"Backend\PlantProcess.Api\Program.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".cs","351","12946","12.64","5/19/2026 11:54:38 AM"
"Backend\PlantProcess.Api\Properties\launchSettings.json","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".json","38","1611","1.57","5/12/2026 3:30:58 PM"
"Backend\PlantProcess.Api\Security\AuthEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","API Security/Auth",".cs","221","7467","7.29","5/19/2026 11:08:35 AM"
"Backend\PlantProcess.Api\Security\AuthOptions.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","API Security/Auth",".cs","42","1414","1.38","5/19/2026 9:55:11 AM"
"Backend\PlantProcess.Api\Swagger\SwaggerExamplesOperationFilter.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".cs","237","8529","8.33","5/19/2026 10:32:04 AM"
"Backend\PlantProcess.Application\Analytics\Contracts\CorrelationDtos.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","111","3027","2.96","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Analytics\Contracts\MaterialFeatureVector.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","125","3897","3.81","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Analytics\Contracts\RiskPredictionDtos.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","70","1768","1.73","5/19/2026 12:19:14 AM"
