"Key","Action"
"ConnectionStrings__PlantProcessDb","Normalized value in deploy/server/.env.example."
"ConnectionStrings__WebsiteDb","Normalized value in deploy/server/.env.example."
"JENKINS_ADMIN_PASSWORD","Normalized value in deploy/server/.env.example."
"PlantProcess__Auth__BootstrapAdminPassword","Normalized value in deploy/server/.env.example."
"PlantProcess__Auth__RefreshTokenDays","Normalized value in deploy/server/.env.example."
"PlantProcess__Auth__SigningKey","Normalized value in deploy/server/.env.example."
"POSTGRES_PASSWORD","Normalized value in deploy/server/.env.example."
"PPIQ_BOOTSTRAP_ADMIN_PASSWORD","Added missing key to deploy/server/.env.example."
"PPIQ_SMOKE_PASSWORD","Added missing key to deploy/server/.env.example."
