"Path","Kind","Status","Evidence"
"deploy\caddy\Caddyfile","CADDY","OK","Asset exists."
"deploy\server\SERVER_DEPLOYMENT_CHECKLIST.md","CHECKLIST","OK","Asset exists."
"deploy\demo-sources\docker-compose.demo-sources.yml","COMPOSE","OK","Asset exists."
"deploy\server\SERVER_DRY_RUN.md","DRY_RUN_DOC","OK","Asset exists."
"deploy\server\.env.example","ENV_TEMPLATE","OK","Asset exists."
"deploy\server\SERVER_RUNBOOK.md","RUNBOOK","OK","Asset exists."
"scripts\deploy\validate-pack3a-deployment-baseline.ps1","VALIDATOR","OK","Asset exists."
"scripts\deploy\validate-pack3b-server-deployment-manifest.ps1","VALIDATOR","OK","Asset exists."
