seq	tier	position	path	sha256_manifest	sha256_actual	sha_state	exec_state
70	scripts	62	Backend/database/scripts/610_v5_p12_i18n_rtl_mobile.sql	F20AF3528F78966516F70ECEA88800E66E46682236A6A1C417F8128790D73277	F20AF3528F78966516F70ECEA88800E66E46682236A6A1C417F8128790D73277	MATCH	EXECUTED
71	scripts	63	Backend/database/scripts/620_v5_p13_deployment_dr_portability.sql	AEBF7D0CBC82FCC2D9C3883586BE8BFC31E76E58278FB70DC4791CBA1E5F9FB1	AEBF7D0CBC82FCC2D9C3883586BE8BFC31E76E58278FB70DC4791CBA1E5F9FB1	MATCH	EXECUTED
72	scripts	64	Backend/database/scripts/630_v5_p14_compliance_refactor_controls.sql	1395C587871CD7155E6470D1A866A107232870C68FA5B1E866E9A9DDACFDAF52	1395C587871CD7155E6470D1A866A107232870C68FA5B1E866E9A9DDACFDAF52	MATCH	EXECUTED
73	scripts	65	Backend/database/scripts/640_remaining_sensitive_data_catalog.sql	DA51A3A09269768212F37D09A0D132A39AB795DD2FBD661FFF9EC81A434CF5F5	DA51A3A09269768212F37D09A0D132A39AB795DD2FBD661FFF9EC81A434CF5F5	MATCH	EXECUTED
74	scripts	66	Backend/database/scripts/650_remaining_p10_ed25519_verified_license.sql	6603B02EA49707A6B7424C205BAC606DC320BCF568316CCA0217429889271789	6603B02EA49707A6B7424C205BAC606DC320BCF568316CCA0217429889271789	MATCH	EXECUTED
75	scripts	67	Backend/database/scripts/660_remaining_p09_sso_scim_runtime_certification.sql	9B5015F1702EA9EB23A5B3865385C1D1D6807B2DEB1C14ACDC1A8F1402249AFE	9B5015F1702EA9EB23A5B3865385C1D1D6807B2DEB1C14ACDC1A8F1402249AFE	MATCH	EXECUTED
76	scripts	68	Backend/database/scripts/665_pack_b35_mostly_green_task_closure.sql	F26170648FC2110753803F218983F70F18405DE4A0AFC415ADAF438895C3713D	F26170648FC2110753803F218983F70F18405DE4A0AFC415ADAF438895C3713D	MATCH	EXECUTED
77	scripts	69	Backend/database/scripts/670_pack_b4_connector_runtime_certification.sql	C6BCA1CD503495739B0A9B857AB2ABAF217CE990B95799B035F1B285BF07374E	C6BCA1CD503495739B0A9B857AB2ABAF217CE990B95799B035F1B285BF07374E	MATCH	EXECUTED
78	scripts	70	Backend/database/scripts/680_pack_b5_private_model_gateway_ciso_controls.sql	3179A279A505B7CD8AEC76A58F14D527733DD77506D2BD2F1F3B9F71D8DC876D	3179A279A505B7CD8AEC76A58F14D527733DD77506D2BD2F1F3B9F71D8DC876D	MATCH	EXECUTED
79	scripts	71	Backend/database/scripts/690_mapping_and_genealogy_function_completion.sql	B647163EF193E9464B329E959C6D383D750D1E88F01C72A146B84FF78FC5F3DD	B647163EF193E9464B329E959C6D383D750D1E88F01C72A146B84FF78FC5F3DD	MATCH	EXECUTED
80	scripts	72	Backend/database/scripts/690_phase01_genealogy_recursive_cycle_guard.sql	9173ED634CF9B2E9B078ACF19763D4A46E7230ECBCB1C63D29BF8FC0F8D1811F	9173ED634CF9B2E9B078ACF19763D4A46E7230ECBCB1C63D29BF8FC0F8D1811F	MATCH	EXECUTED
81	scripts	73	Backend/database/scripts/700_canonical_default_tenant_repair.sql	C21B0E153EF94D7FE53ADCEC2F6CC0E57C41E95F5C856BD56A100F86A605866A	C21B0E153EF94D7FE53ADCEC2F6CC0E57C41E95F5C856BD56A100F86A605866A	MATCH	EXECUTED
82	scripts	74	Backend/database/scripts/700_phase03_readonly_preview_role.sql	8A37900921E74D63348B1DE3408CDF43A68421AECFFCBE28C77C5F4977F7C59B	8A37900921E74D63348B1DE3408CDF43A68421AECFFCBE28C77C5F4977F7C59B	MATCH	EXECUTED
83	scripts	75	Backend/database/scripts/705_dashboard_widget_active_code_unique.sql	EE5ADC98C0309BECEF5037EE84FB43594A13EC270585BBD85EF5FD06A8D2636F	EE5ADC98C0309BECEF5037EE84FB43594A13EC270585BBD85EF5FD06A8D2636F	MATCH	EXECUTED
84	scripts	76	Backend/database/scripts/715_suggestion_population_method.sql	16BBBE0EBAD674BF3A9F97E7ACAD4BE820150C3C4A2FD808492CEB42D7E306CE	16BBBE0EBAD674BF3A9F97E7ACAD4BE820150C3C4A2FD808492CEB42D7E306CE	MATCH	EXECUTED
85	scripts	77	Backend/database/scripts/725_v1_correlation_run_timeout_and_result_proof.sql	B2A70C9A3DA54CC6C07996488CA02ED3D765A2621F4AC5F8C8162456F97C9AC3	B2A70C9A3DA54CC6C07996488CA02ED3D765A2621F4AC5F8C8162456F97C9AC3	MATCH	EXECUTED
86	scripts	78	Backend/database/scripts/730_alert_rules_and_plant_data_log.sql	980F4A960CD4B38ADA14CFC43DDA0DC505F95628241C0C29B2ABC361A18FB0AD	980F4A960CD4B38ADA14CFC43DDA0DC505F95628241C0C29B2ABC361A18FB0AD	MATCH	EXECUTED
87	scripts	79	Backend/database/scripts/740_feature_store_heat_lineage_and_defect_outcomes.sql	70991E622E8B50D0DE49694AB7E1E8DD647AA0AB0D71B71DF2E6B7CAF5E37E95	70991E622E8B50D0DE49694AB7E1E8DD647AA0AB0D71B71DF2E6B7CAF5E37E95	MATCH	EXECUTED
88	scripts	80	Backend/database/scripts/741_feature_store_coil_grain_projection.sql	E5275251040B97489F331B74C24CEEE658D625BC246EEF033FEA30E726342034	E5275251040B97489F331B74C24CEEE658D625BC246EEF033FEA30E726342034	MATCH	EXECUTED
89	scripts	81	Backend/database/scripts/742_feature_regrain_generic.sql	BD4E2D4053A6DBEA60438C8FCDBC122CC3739853E07B590D85840E9B664EE78E	BD4E2D4053A6DBEA60438C8FCDBC122CC3739853E07B590D85840E9B664EE78E	MATCH	EXECUTED
90	scripts	82	Backend/database/scripts/750_forensics_audit_subsystem.sql	006A600807D80623837BB246884E77F3D717EDA1EACDAB27B41C10633EF76F48	006A600807D80623837BB246884E77F3D717EDA1EACDAB27B41C10633EF76F48	MATCH	EXECUTED
91	scripts	83	Backend/database/scripts/760_t025_lineage_and_outcome_producer.sql	BFFC55A94A57158ADFC67E1B9C9A88BD72570332A6F239CF893F9AFC7DC036D1	BFFC55A94A57158ADFC67E1B9C9A88BD72570332A6F239CF893F9AFC7DC036D1	MATCH	EXECUTED
92	scripts	84	Backend/database/scripts/770_t039_definition_version_store.sql	8399D81F75DE38521313AF3685D03393834A15E1ED33416A8D176FB889222088	8399D81F75DE38521313AF3685D03393834A15E1ED33416A8D176FB889222088	MATCH	EXECUTED
93	scripts	85	Backend/database/scripts/771_t041_page_audience_roles.sql	51A858D9E0699A1AB3A829F0E0B9BE8CD93549230082871CDD4C4471AE3F95C1	51A858D9E0699A1AB3A829F0E0B9BE8CD93549230082871CDD4C4471AE3F95C1	MATCH	EXECUTED
94	scripts	86	Backend/database/scripts/772_t042_page_backing_dashboard_and_publication.sql	DE8335E8AEE3BF2CBE0F605EF4C20C388072C8F972E32A73F1639EBEC52F0D64	DE8335E8AEE3BF2CBE0F605EF4C20C388072C8F972E32A73F1639EBEC52F0D64	MATCH	EXECUTED
95	scripts	87	Backend/database/scripts/773_t042_one_live_page_per_backing_dashboard.sql	75380137B5F120C54CDC256699B68880F03D5251A2D414267C34C3210AA9BBD3	75380137B5F120C54CDC256699B68880F03D5251A2D414267C34C3210AA9BBD3	MATCH	EXECUTED
96	scripts	88	Backend/database/scripts/780_t073_widget_result_evidence.sql	6CEAF419CEE2772E81BCB823B28E45918A4D8AEC06349C47F224BB6A9E9F7AA0	6CEAF419CEE2772E81BCB823B28E45918A4D8AEC06349C47F224BB6A9E9F7AA0	MATCH	EXECUTED
