"onDemoPath","page","route","controlType","label","classification","handler","file","line"
"no","components/brand","(component)","anchor","Engineer brief","UNMOUNTED","href:/brand/plantprocess-iq-engineer-brief.html","Frontend\PlantProcess.Web\src\components\brand\BrandProofPanel.tsx","53"
"no","components/brand","(component)","anchor","Architecture diagram","UNMOUNTED","href:/brand/plantprocess-iq-architecture.svg","Frontend\PlantProcess.Web\src\components\brand\BrandProofPanel.tsx","57"
"no","components/dashboard","(component)","StandardButton","(no label)","UNMOUNTED","() => setShowSql((s) => !s)","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\WidgetScriptBuilderPanel.tsx","79"
"no","components/dashboard","(component)","StandardButton","(no label)","UNMOUNTED","onValidate","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\WidgetScriptBuilderPanel.tsx","82"
"no","components/dashboard","(component)","StandardButton","(no label)","UNMOUNTED","onPreview","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\WidgetScriptBuilderPanel.tsx","85"
"no","components/dashboard","(component)","StandardButton","(no label)","UNMOUNTED","onPublishClick","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\WidgetScriptBuilderPanel.tsx","88"
"no","components/dashboard","(component)","StandardP2TextArea",") : (","UNMOUNTED","(e) => { setScript(e.target.value); setValidated(false); setPublished(false);","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\WidgetScriptBuilderPanel.tsx","96"
"no","components/exec","(component)","StandardButton","(no label)","UNMOUNTED","() => setOpenTerm(open ? null : term.key)","Frontend\PlantProcess.Web\src\components\exec\ValueRangePanel.tsx","58"
"no","components/ops","(component)","StandardButton","(no label)","UNMOUNTED","() => rerun(row.id)","Frontend\PlantProcess.Web\src\components\ops\JobsMonitorTable.tsx","55"
"no","components/standard","(component)","button","custom button","UNMOUNTED","","Frontend\PlantProcess.Web\src\components\standard\DoDont.stories.tsx","33"
"no","components/standard","(component)","input","Search material code...","UNMOUNTED","","Frontend\PlantProcess.Web\src\components\standard\DoDont.stories.tsx","35"
"no","components/standard","(component)","StandardButton","Primary","UNMOUNTED","","Frontend\PlantProcess.Web\src\components\standard\StandardButton.stories.tsx","20"
"no","components/standard","(component)","StandardButton","Secondary","UNMOUNTED","","Frontend\PlantProcess.Web\src\components\standard\StandardButton.stories.tsx","21"
"no","components/standard","(component)","StandardButton","Info","UNMOUNTED","() => toast.notify({ variant: ""info"", title: ""Info"", description: ""Investigation started.""","Frontend\PlantProcess.Web\src\components\standard\StandardSurface.stories.tsx","22"
"no","components/standard","(component)","StandardButton","Ghost","UNMOUNTED","","Frontend\PlantProcess.Web\src\components\standard\StandardButton.stories.tsx","22"
"no","components/standard","(component)","StandardButton","Success","UNMOUNTED","() => toast.notify({ variant: ""success"", title: ""Saved"", description: ""Configuration saved.""","Frontend\PlantProcess.Web\src\components\standard\StandardSurface.stories.tsx","23"
"no","components/standard","(component)","StandardButton","Danger","UNMOUNTED","","Frontend\PlantProcess.Web\src\components\standard\StandardButton.stories.tsx","23"
"no","components/standard","(component)","StandardButton","Warning","UNMOUNTED","() => toast.notify({ variant: ""warning"", title: ""Warning"", description: ""Some rows need review.""","Frontend\PlantProcess.Web\src\components\standard\StandardSurface.stories.tsx","24"
"no","components/standard","(component)","StandardButton","Success","UNMOUNTED","","Frontend\PlantProcess.Web\src\components\standard\StandardButton.stories.tsx","24"
"no","components/standard","(component)","StandardButton","Run investigation","UNMOUNTED","","Frontend\PlantProcess.Web\src\components\standard\DoDont.stories.tsx","25"
"no","components/standard","(component)","StandardButton","Error","UNMOUNTED","() => toast.notify({ variant: ""error"", title: ""Error"", description: ""Refresh failed.""","Frontend\PlantProcess.Web\src\components\standard\StandardSurface.stories.tsx","25"
"no","components/standard","(component)","StandardButton","Loading","UNMOUNTED","() => toast.notify({ variant: ""loading"", title: ""Loading"", description: ""Operation in progress.""","Frontend\PlantProcess.Web\src\components\standard\StandardSurface.stories.tsx","26"
"no","components/standard","(component)","StandardButton","Small","UNMOUNTED","","Frontend\PlantProcess.Web\src\components\standard\StandardButton.stories.tsx","32"
"no","components/standard","(component)","StandardButton","Medium","UNMOUNTED","","Frontend\PlantProcess.Web\src\components\standard\StandardButton.stories.tsx","33"
"no","components/standard","(component)","StandardButton","Large","UNMOUNTED","","Frontend\PlantProcess.Web\src\components\standard\StandardButton.stories.tsx","34"
"no","components/standard","(component)","StandardButton","Default","UNMOUNTED","","Frontend\PlantProcess.Web\src\components\standard\StandardButton.stories.tsx","42"
"no","components/standard","(component)","StandardButton","Loading","UNMOUNTED","","Frontend\PlantProcess.Web\src\components\standard\StandardButton.stories.tsx","43"
"no","components/standard","(component)","StandardButton","Disabled","UNMOUNTED","","Frontend\PlantProcess.Web\src\components\standard\StandardButton.stories.tsx","44"
"no","components/standard","(component)","StandardButton","With icon","UNMOUNTED","","Frontend\PlantProcess.Web\src\components\standard\StandardButton.stories.tsx","45"
"no","components/standard","(component)","StandardButton","Export","UNMOUNTED","","Frontend\PlantProcess.Web\src\components\standard\StandardButton.stories.tsx","46"
"no","components/standard","(component)","StandardButton","Open modal","UNMOUNTED","() => setOpen(true)","Frontend\PlantProcess.Web\src\components\standard\StandardSurface.stories.tsx","51"
"no","components/standard","(component)","StandardButton","Open dirty modal","UNMOUNTED","() => setDirtyOpen(true)","Frontend\PlantProcess.Web\src\components\standard\StandardSurface.stories.tsx","52"
"no","components/standard","(component)","StandardButton","Refresh","UNMOUNTED","","Frontend\PlantProcess.Web\src\components\standard\StandardButton.stories.tsx","54"
"no","components/standard","(component)","StandardButton","Confirm","UNMOUNTED","() => setOpen(false)","Frontend\PlantProcess.Web\src\components\standard\StandardSurface.stories.tsx","55"
"no","components/standard","(component)","StandardButton","Delete","UNMOUNTED","","Frontend\PlantProcess.Web\src\components\standard\StandardButton.stories.tsx","55"
"no","components/standard","(component)","StandardButton","Save","UNMOUNTED","() => setDirtyOpen(false)","Frontend\PlantProcess.Web\src\components\standard\StandardSurface.stories.tsx","59"
