"onDemoPath","route","page","controlType","label","classification","handler","file","line"
"no","(unreachable)","DemoAnalyticsPages.implementation","StandardButton","Open","UNMOUNTED","() => navigate(row.targetRoute)","Frontend\PlantProcess.Web\src\pages\PlatformOps\DemoAnalyticsPages.implementation.tsx","189"
"no","(unreachable)","DemoAnalyticsPages.implementation","StandardButton","Refresh","UNMOUNTED","suggestions.reload","Frontend\PlantProcess.Web\src\pages\PlatformOps\DemoAnalyticsPages.implementation.tsx","204"
"no","(unreachable)","DemoAnalyticsPages.implementation","StandardButton","Refresh Page","UNMOUNTED","page.reload","Frontend\PlantProcess.Web\src\pages\PlatformOps\DemoAnalyticsPages.implementation.tsx","235"
"no","(unreachable)","DemoAnalyticsPages.implementation","StandardButton","Validate Expression","UNMOUNTED","","Frontend\PlantProcess.Web\src\pages\PlatformOps\DemoAnalyticsPages.implementation.tsx","265"
"no","(unreachable)","EdgeCollectorManagementPage","StandardButton","Rotate credential","UNMOUNTED","","Frontend\PlantProcess.Web\src\pages\Acquisition\EdgeCollectorManagementPage.tsx","89"
"no","(unreachable)","ErrorBoundary","button","(no label)","UNMOUNTED","this.reset","Frontend\PlantProcess.Web\src\components\standard\ErrorBoundary.tsx","132"
"no","(unreachable)","EvidencePanel","StandardButton","View method inputs","UNMOUNTED","() => onOpenProvenance?.(evidence.provenance.handleId)","Frontend\PlantProcess.Web\src\components\analytics\EvidencePanel.tsx","57"
"no","(unreachable)","GenealogyThreadPanel","StandardButton","(no label)","UNMOUNTED","() => load(pending)","Frontend\PlantProcess.Web\src\components\materials\GenealogyThreadPanel.tsx","117"
"no","(unreachable)","GenealogyThreadPanel","StandardButton","(no label)","UNMOUNTED","calculateRisk","Frontend\PlantProcess.Web\src\components\materials\GenealogyThreadPanel.tsx","120"
"no","(unreachable)","GenealogyThreadPanel","StandardButton","PDF Report","UNMOUNTED","openPdf","Frontend\PlantProcess.Web\src\components\materials\GenealogyThreadPanel.tsx","124"
"no","(unreachable)","GenealogyThreadPanel","StandardP2Input","Enter a material code","UNMOUNTED","(e) => setPending(e.target.value)","Frontend\PlantProcess.Web\src\components\materials\GenealogyThreadPanel.tsx","134"
"no","(unreachable)","GenealogyThreadPanel","StandardButton","Retry","UNMOUNTED","() => load(materialKey)","Frontend\PlantProcess.Web\src\components\materials\GenealogyThreadPanel.tsx","148"
"no","(unreachable)","JobsMonitorTable","StandardButton","(no label)","UNMOUNTED","() => rerun(row.id)","Frontend\PlantProcess.Web\src\components\ops\JobsMonitorTable.tsx","55"
"no","(unreachable)","LogPanel","StandardButton","(no label)","UNMOUNTED","() => setOpen((v) => !v)","Frontend\PlantProcess.Web\src\components\logging\LogPanel.tsx","101"
"no","(unreachable)","LogPanel","StandardButton","Job events","UNMOUNTED","() => setSource(""job"")","Frontend\PlantProcess.Web\src\components\logging\LogPanel.tsx","114"
"no","(unreachable)","LogPanel","StandardButton","System log","UNMOUNTED","() => setSource(""system"")","Frontend\PlantProcess.Web\src\components\logging\LogPanel.tsx","121"
"no","(unreachable)","LogPanel","input","Filter by word...","UNMOUNTED","(e) => setSearch(e.target.value)","Frontend\PlantProcess.Web\src\components\logging\LogPanel.tsx","130"
"no","(unreachable)","LogPanel","select","Job type","UNMOUNTED","(e) => setJobType(e.target.value)","Frontend\PlantProcess.Web\src\components\logging\LogPanel.tsx","140"
"no","(unreachable)","LogPanel","select","Severity","UNMOUNTED","(e) => setSeverity(e.target.value)","Frontend\PlantProcess.Web\src\components\logging\LogPanel.tsx","149"
"no","(unreachable)","LogPanel","input","Day","UNMOUNTED","(e) => setDay(e.target.value)","Frontend\PlantProcess.Web\src\components\logging\LogPanel.tsx","157"
"no","(unreachable)","LogPanel","input",") : null}","UNMOUNTED","(e) => setHour(e.target.value)","Frontend\PlantProcess.Web\src\components\logging\LogPanel.tsx","160"
"no","(unreachable)","LogPanel","StandardButton","Refresh","UNMOUNTED","load","Frontend\PlantProcess.Web\src\components\logging\LogPanel.tsx","172"
"no","(unreachable)","Phase7ValueScenarioPage","StandardButton","(no label)","UNMOUNTED","runScenario","Frontend\PlantProcess.Web\src\pages\Phase7ValueScenario\Phase7ValueScenarioPage.tsx","136"
"no","(unreachable)","Phase7ValueScenarioPage","StandardButton","Record tracked value","UNMOUNTED","recordTrackedValue","Frontend\PlantProcess.Web\src\pages\Phase7ValueScenario\Phase7ValueScenarioPage.tsx","139"
"no","(unreachable)","ProductBrand","anchor","PlantProcess IQ dashboard","UNMOUNTED","href:/dashboard","Frontend\PlantProcess.Web\src\components\brand\ProductBrand.tsx","15"
"no","(unreachable)","SOUBrand","anchor","SOU PlantProcess IQ home","UNMOUNTED","href:/","Frontend\PlantProcess.Web\src\components\brand\SOUBrand.tsx","15"
"no","(unreachable)","standard-components.implementation","button","(no label)","UNMOUNTED","","Frontend\PlantProcess.Web\src\ui\standard-components.implementation.tsx","57"
"no","(unreachable)","standard-components.implementation","button","(no label)","UNMOUNTED","() => onChange(item.id)","Frontend\PlantProcess.Web\src\ui\standard-components.implementation.tsx","275"
"no","(unreachable)","standard-components.implementation","input",")}","UNMOUNTED","","Frontend\PlantProcess.Web\src\ui\standard-components.implementation.tsx","344"
"no","(unreachable)","standard-components.implementation","select","(no label)","UNMOUNTED","","Frontend\PlantProcess.Web\src\ui\standard-components.implementation.tsx","378"
"no","(unreachable)","standard-components.implementation","textarea",")}","UNMOUNTED","","Frontend\PlantProcess.Web\src\ui\standard-components.implementation.tsx","411"
"no","(unreachable)","standard-components.implementation","StandardButton","Close modal","UNMOUNTED","onClose","Frontend\PlantProcess.Web\src\ui\standard-components.implementation.tsx","458"
"no","(unreachable)","standard-components.implementation","StandardButton","Dismiss notification","UNMOUNTED","() => dismiss(message.id)","Frontend\PlantProcess.Web\src\ui\standard-components.implementation.tsx","512"
"no","(unreachable)","StandardDataTable","button","(no label)","UNMOUNTED","() => handleSort(column)","Frontend\PlantProcess.Web\src\components\standard\StandardDataTable.tsx","180"
"no","(unreachable)","StandardTable.implementation","StandardButton","Retry","UNMOUNTED","onRetry","Frontend\PlantProcess.Web\src\components\standard\StandardTable.implementation.tsx","224"
"no","(unreachable)","StandardTable.implementation","StandardButton","Export CSV","UNMOUNTED","() => downloadCsv( ""plantprocess-table-export.csv"", visibleColumns.map((column) => String(column.header))","Frontend\PlantProcess.Web\src\components\standard\StandardTable.implementation.tsx","322"
"no","(unreachable)","StandardTable.implementation","button","(no label)","UNMOUNTED","(event) => toggleSort(column, event.shiftKey)","Frontend\PlantProcess.Web\src\components\standard\StandardTable.implementation.tsx","364"
"no","(unreachable)","StandardTable.implementation","input","(no label)","UNMOUNTED","() => toggleRow(key)","Frontend\PlantProcess.Web\src\components\standard\StandardTable.implementation.tsx","396"
"no","(unreachable)","StandardTable.implementation","StandardButton","Previous","UNMOUNTED","() => { const next = Math.max(0, pageIndex - 1); setPageIndex(next); emitQuery({ pageIndex: next","Frontend\PlantProcess.Web\src\components\standard\StandardTable.implementation.tsx","440"
"no","(unreachable)","StandardTable.implementation","StandardButton","Next","UNMOUNTED","() => { const next = Math.min(pageCount - 1, pageIndex + 1); setPageIndex(next); emitQuery({ pageIndex: next","Frontend\PlantProcess.Web\src\components\standard\StandardTable.implementation.tsx","464"
"no","(unreachable)","StandardTabs","anchor","(no label)","UNMOUNTED","item.href","Frontend\PlantProcess.Web\src\components\standard\StandardTabs.tsx","192"
"no","(unreachable)","StandardTabs","button","(no label)","UNMOUNTED","() => activate(item.id)","Frontend\PlantProcess.Web\src\components\standard\StandardTabs.tsx","221"
"no","(unreachable)","StateRenderer","StandardButton","(no label)","UNMOUNTED","onRetry","Frontend\PlantProcess.Web\src\components\StateRenderer.tsx","85"
"no","(unreachable)","StateRenderer","StandardButton","(no label)","UNMOUNTED","onRetry","Frontend\PlantProcess.Web\src\components\StateRenderer.tsx","112"
"no","(unreachable)","SuggestionCardsPanel","StandardButton","Evidence","UNMOUNTED","() => setDrawer(c)","Frontend\PlantProcess.Web\src\components\suggestions\SuggestionCardsPanel.tsx","75"
"no","(unreachable)","SuggestionCardsPanel","StandardButton","Acknowledge","UNMOUNTED","() => onAct?.(c.id, ""assign"")","Frontend\PlantProcess.Web\src\components\suggestions\SuggestionCardsPanel.tsx","76"
"no","(unreachable)","SuggestionCardsPanel","StandardButton","Accept","UNMOUNTED","() => isManager && onAct?.(c.id, ""accept"")","Frontend\PlantProcess.Web\src\components\suggestions\SuggestionCardsPanel.tsx","77"
"no","(unreachable)","SuggestionCardsPanel","StandardButton","Reject","UNMOUNTED","() => isManager && onAct?.(c.id, ""reject"")","Frontend\PlantProcess.Web\src\components\suggestions\SuggestionCardsPanel.tsx","86"
"no","(unreachable)","SuggestionCardsPanel","StandardButton","Close","UNMOUNTED","() => setDrawer(null)","Frontend\PlantProcess.Web\src\components\suggestions\SuggestionCardsPanel.tsx","96"
"no","(unreachable)","SuggestionCardsPanel","StandardButton","Open","UNMOUNTED","() => onOpenEvidence?.(h)","Frontend\PlantProcess.Web\src\components\suggestions\SuggestionCardsPanel.tsx","103"
"no","(unreachable)","V5ConnectorsIdentityPage","StandardButton","Register mock historian + backfill","UNMOUNTED","registerMockConnector","Frontend\PlantProcess.Web\src\pages\V5ConnectorsIdentityPage.tsx","128"
"no","(unreachable)","V5ConnectorsIdentityPage","StandardButton","Enroll TOTP MFA","UNMOUNTED","enrollMfa","Frontend\PlantProcess.Web\src\pages\V5ConnectorsIdentityPage.tsx","135"
"no","(unreachable)","V5NoCodeMapperPage","StandardButton","Run read-only demo discovery","UNMOUNTED","runDemoDiscovery","Frontend\PlantProcess.Web\src\pages\V5NoCodeMapperPage.tsx","120"
"no","(unreachable)","V5OutboundI18nMobilePage","StandardP2Select","(no label)","UNMOUNTED","(event) => setLocaleCode(event.target.value as V5LocaleCode)","Frontend\PlantProcess.Web\src\pages\V5OutboundI18nMobilePage.tsx","141"
"no","(unreachable)","V5OutboundI18nMobilePage","StandardButton","(no label)","UNMOUNTED","captureDemoLead","Frontend\PlantProcess.Web\src\pages\V5OutboundI18nMobilePage.tsx","177"
"no","(unreachable)","V5OutboundI18nMobilePage","StandardButton","(no label)","UNMOUNTED","sendHighSeverityNotification","Frontend\PlantProcess.Web\src\pages\V5OutboundI18nMobilePage.tsx","181"
"no","(unreachable)","V5SsoLicensingPage","StandardButton","Run mock SSO login","UNMOUNTED","runMockSsoLogin","Frontend\PlantProcess.Web\src\pages\V5SsoLicensingPage.tsx","138"
"no","(unreachable)","V5SsoLicensingPage","StandardButton","Create + activate signed license","UNMOUNTED","createAndActivateLicense","Frontend\PlantProcess.Web\src\pages\V5SsoLicensingPage.tsx","145"
"no","(unreachable)","ValueImpactCard","StandardButton","(no label)","UNMOUNTED","() => setOpen(open === t.name ? null : t.name)","Frontend\PlantProcess.Web\src\components\value\ValueImpactCard.tsx","69"
"no","(unreachable)","ValueImpactCard","StandardButton","source finding (","UNMOUNTED","() => onOpenEvidence?.(t.handle as ProvenanceHandleRef)","Frontend\PlantProcess.Web\src\components\value\ValueImpactCard.tsx","86"
"no","(unreachable)","ValueRangePanel","StandardButton","(no label)","UNMOUNTED","() => setOpenTerm(open ? null : term.key)","Frontend\PlantProcess.Web\src\components\exec\ValueRangePanel.tsx","58"
"no","(unreachable)","WidgetBuilderWizardContent.data-steps","StandardButton","(no label)","UNMOUNTED","() => onSelect(purpose.code)","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\content\WidgetBuilderWizardContent.data-steps.tsx","52"
"no","(unreachable)","WidgetBuilderWizardContent.data-steps","StandardButton","(no label)","UNMOUNTED","() => onSelect(chartType.code)","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\content\WidgetBuilderWizardContent.data-steps.tsx","86"
"no","(unreachable)","WidgetBuilderWizardContent.data-steps","StandardP2Input","Example: Defect rate by equipment","UNMOUNTED","(event) => onPatch({ widgetTitle: event.target.value","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\content\WidgetBuilderWizardContent.data-steps.tsx","136"
"no","(unreachable)","WidgetBuilderWizardContent.data-steps","StandardP2Select","(no label)","UNMOUNTED","(event) => onPatch({ widgetType: event.target.value","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\content\WidgetBuilderWizardContent.data-steps.tsx","145"
"no","(unreachable)","WidgetBuilderWizardContent.data-steps","StandardP2Select","(no label)","UNMOUNTED","(event) => onPatch({ dimensionCode: event.target.value || undefined","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\content\WidgetBuilderWizardContent.data-steps.tsx","157"
"no","(unreachable)","WidgetBuilderWizardContent.data-steps","StandardP2Select","(no label)","UNMOUNTED","(event) => onPatch({ measureCode: event.target.value || undefined","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\content\WidgetBuilderWizardContent.data-steps.tsx","174"
"no","(unreachable)","WidgetBuilderWizardContent.data-steps","StandardP2Select","(no label)","UNMOUNTED","(event) => onPatch({ parameterCode: event.target.value || undefined","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\content\WidgetBuilderWizardContent.data-steps.tsx","192"
"no","(unreachable)","WidgetBuilderWizardContent.data-steps","StandardP2Input","(no label)","UNMOUNTED","(event) => onPatch({ maxRows: Number(event.target.value)","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\content\WidgetBuilderWizardContent.data-steps.tsx","210"
"no","(unreachable)","WidgetBuilderWizardContent.data-steps","StandardP2Input","(no label)","UNMOUNTED","(event) => onPatch({ rawRowLimit: Number(event.target.value)","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\content\WidgetBuilderWizardContent.data-steps.tsx","221"
"no","(unreachable)","WidgetBuilderWizardContent.filter-step","StandardP2Select","(no label)","UNMOUNTED","(event) => onPatchFilters({ siteId: event.target.value || null","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\content\WidgetBuilderWizardContent.filter-step.tsx","54"
"no","(unreachable)","WidgetBuilderWizardContent.filter-step","StandardP2Select","(no label)","UNMOUNTED","(event) => onPatchFilters({ areaId: event.target.value || null","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\content\WidgetBuilderWizardContent.filter-step.tsx","71"
"no","(unreachable)","WidgetBuilderWizardContent.filter-step","StandardP2Select","(no label)","UNMOUNTED","(event) => onPatchFilters({ equipmentId: event.target.value || null","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\content\WidgetBuilderWizardContent.filter-step.tsx","88"
"no","(unreachable)","WidgetBuilderWizardContent.filter-step","StandardP2Input","Example: Coil, Batch, Slab, Roll","UNMOUNTED","(event) => onPatchFilters({ materialUnitType: event.target.value || null","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\content\WidgetBuilderWizardContent.filter-step.tsx","105"
"no","(unreachable)","WidgetBuilderWizardContent.filter-step","StandardP2Select","(no label)","UNMOUNTED","(event) => onPatchFilters({ defectType: event.target.value || null","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\content\WidgetBuilderWizardContent.filter-step.tsx","116"
"no","(unreachable)","WidgetBuilderWizardContent.filter-step","StandardP2Select","(no label)","UNMOUNTED","(event) => onPatchFilters({ riskClass: event.target.value || null","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\content\WidgetBuilderWizardContent.filter-step.tsx","133"
"no","(unreachable)","WidgetBuilderWizardContent.filter-step","StandardP2Select","(no label)","UNMOUNTED","(event) => onPatchFilters({ sourceSystem: event.target.value || null","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\content\WidgetBuilderWizardContent.filter-step.tsx","150"
"no","(unreachable)","WidgetBuilderWizardContent.filter-step","StandardP2Select","(no label)","UNMOUNTED","(event) => onPatchFilters({ shiftCode: event.target.value || null","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\content\WidgetBuilderWizardContent.filter-step.tsx","167"
"no","(unreachable)","WidgetBuilderWizardContent.filter-step","StandardP2Select","(no label)","UNMOUNTED","(event) => onPatch({ dateMode: event.target.value as WidgetBuilderState[""dateMode""],","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\content\WidgetBuilderWizardContent.filter-step.tsx","184"
"no","(unreachable)","WidgetBuilderWizardContent.filter-step","StandardP2Input","(no label)","UNMOUNTED","(event) => onPatch({ relativeDateValue: Number(event.target.value)","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\content\WidgetBuilderWizardContent.filter-step.tsx","202"
"no","(unreachable)","WidgetBuilderWizardContent.filter-step","StandardP2Select","(no label)","UNMOUNTED","(event) => onPatch({ relativeDateUnit: event.target.value as RelativeDateUnit,","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\content\WidgetBuilderWizardContent.filter-step.tsx","214"
"no","(unreachable)","WidgetBuilderWizardContent.filter-step","StandardP2Input","(no label)","UNMOUNTED","(event) => onPatchFilters({ fromUtc: fromInputDateTime(event.target.value),","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\content\WidgetBuilderWizardContent.filter-step.tsx","234"
"no","(unreachable)","WidgetBuilderWizardContent.filter-step","StandardP2Input","(no label)","UNMOUNTED","(event) => onPatchFilters({ toUtc: fromInputDateTime(event.target.value),","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\content\WidgetBuilderWizardContent.filter-step.tsx","247"
"no","(unreachable)","WidgetBuilderWizardContent.preview-steps","StandardButton","Use standard query only","UNMOUNTED","onDisableExpression","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\content\WidgetBuilderWizardContent.preview-steps.tsx","83"
"no","(unreachable)","WidgetBuilderWizardContent.preview-steps","StandardButton","(no label)","UNMOUNTED","onPreview","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\content\WidgetBuilderWizardContent.preview-steps.tsx","152"
"no","(unreachable)","WidgetBuilderWizardContent.view","StandardButton","(no label)","UNMOUNTED","onClose","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\content\WidgetBuilderWizardContent.view.tsx","83"
"no","(unreachable)","WidgetBuilderWizardContent.view","StandardButton","(no label)","UNMOUNTED","() => setStep(item)","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\content\WidgetBuilderWizardContent.view.tsx","90"
"no","(unreachable)","WidgetBuilderWizardContent.view","StandardButton","(no label)","UNMOUNTED","goBack","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\content\WidgetBuilderWizardContent.view.tsx","256"
"no","(unreachable)","WidgetBuilderWizardContent.view","StandardButton","(no label)","UNMOUNTED","runPreview","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\content\WidgetBuilderWizardContent.view.tsx","269"
"no","(unreachable)","WidgetBuilderWizardContent.view","StandardButton","(no label)","UNMOUNTED","saveWidget","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\content\WidgetBuilderWizardContent.view.tsx","279"
"no","(unreachable)","WidgetBuilderWizardContent.view","StandardButton","Next","UNMOUNTED","goNext","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\content\WidgetBuilderWizardContent.view.tsx","294"
"no","(unreachable)","WidgetScriptBuilderPanel","StandardButton","(no label)","UNMOUNTED","() => setShowSql((s) => !s)","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\WidgetScriptBuilderPanel.tsx","79"
"no","(unreachable)","WidgetScriptBuilderPanel","StandardButton","(no label)","UNMOUNTED","onValidate","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\WidgetScriptBuilderPanel.tsx","82"
"no","(unreachable)","WidgetScriptBuilderPanel","StandardButton","(no label)","UNMOUNTED","onPreview","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\WidgetScriptBuilderPanel.tsx","85"
"no","(unreachable)","WidgetScriptBuilderPanel","StandardButton","(no label)","UNMOUNTED","onPublishClick","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\WidgetScriptBuilderPanel.tsx","88"
"no","(unreachable)","WidgetScriptBuilderPanel","StandardP2TextArea",") : (","UNMOUNTED","(e) => { setScript(e.target.value); setValidated(false); setPublished(false);","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\WidgetScriptBuilderPanel.tsx","96"
"no","(unreachable)","WidgetScriptStep","StandardButton","(no label)","UNMOUNTED","() => void runPreview()","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\WidgetScriptStep.tsx","91"
"no","(unreachable)","WidgetScriptStep","StandardButton","(no label)","UNMOUNTED","() => { setExpression(template.expression); setPreview(null); setError(null);","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\WidgetScriptStep.tsx","103"
"no","(unreachable)","WidgetScriptStep","StandardP2TextArea","(no label)","UNMOUNTED","(event) => { setExpression(event.target.value); setPreview(null); setError(null);","Frontend\PlantProcess.Web\src\components\dashboard\widget-builder\WidgetScriptStep.tsx","119"
"no","/advisory/benchmarking","BenchmarkingPage","StandardButton","Refresh benchmark","HAS HANDLER","() => void refresh()","Frontend\PlantProcess.Web\src\pages\Advisory\BenchmarkingPage.tsx","101"
"no","/advisory/benchmarking","BenchmarkingPage","StandardButton","Preview suppression behaviour","HAS HANDLER","() => void loadSuppressedDemo()","Frontend\PlantProcess.Web\src\pages\Advisory\BenchmarkingPage.tsx","102"
"no","/advisory/honesty-certification","HonestyCertificationPage","StandardButton","Run honesty certification","HAS HANDLER","() => void runCertification()","Frontend\PlantProcess.Web\src\pages\Advisory\HonestyCertificationPage.tsx","72"
"no","/advisory/recommendations","RecommendationsPage","StandardButton","Generate recommendation","HAS HANDLER","generate","Frontend\PlantProcess.Web\src\pages\Advisory\RecommendationsPage.tsx","141"
"no","/advisory/recommendations","RecommendationsPage","StandardButton","Load sample request","HAS HANDLER","() => void refresh()","Frontend\PlantProcess.Web\src\pages\Advisory\RecommendationsPage.tsx","142"
"no","/advisory/recommendations","RecommendationsPage","StandardButton","Approve for review","HAS HANDLER","() => void decide(recommendation, 1)","Frontend\PlantProcess.Web\src\pages\Advisory\RecommendationsPage.tsx","177"
"no","/advisory/recommendations","RecommendationsPage","StandardButton","Dismiss","HAS HANDLER","() => void decide(recommendation, 2)","Frontend\PlantProcess.Web\src\pages\Advisory\RecommendationsPage.tsx","178"
"no","/advisory/scenario-simulation","ScenarioSimulationPage","StandardP2Input","(no label)","HAS HANDLER","(event) => setRequest({ ...request, scenarioName: event.target.value","Frontend\PlantProcess.Web\src\pages\Advisory\ScenarioSimulationPage.tsx","146"
"no","/advisory/scenario-simulation","ScenarioSimulationPage","StandardP2Input","(no label)","HAS HANDLER","(event) => setRequest({ ...request, seed: Number(event.target.value)","Frontend\PlantProcess.Web\src\pages\Advisory\ScenarioSimulationPage.tsx","147"
"no","/advisory/scenario-simulation","ScenarioSimulationPage","StandardP2Input","(no label)","HAS HANDLER","(event) => updateProposedValue(index, event.target.value)","Frontend\PlantProcess.Web\src\pages\Advisory\ScenarioSimulationPage.tsx","153"
"no","/advisory/scenario-simulation","ScenarioSimulationPage","StandardButton","Run what-if simulation","HAS HANDLER","simulate","Frontend\PlantProcess.Web\src\pages\Advisory\ScenarioSimulationPage.tsx","158"
"no","/advisory/scenario-simulation","ScenarioSimulationPage","StandardButton","Test an out-of-envelope value","HAS HANDLER","makeOutOfEnvelope","Frontend\PlantProcess.Web\src\pages\Advisory\ScenarioSimulationPage.tsx","159"
"no","/advisory/scenario-simulation","ScenarioSimulationPage","StandardButton","Reload sample","HAS HANDLER","() => void refresh()","Frontend\PlantProcess.Web\src\pages\Advisory\ScenarioSimulationPage.tsx","160"
"no","/advisory/value-realization","ValueRealizationPage","StandardP2Input","(no label)","HAS HANDLER","(event) => updateActualValue(event.target.value)","Frontend\PlantProcess.Web\src\pages\Advisory\ValueRealizationPage.tsx","98"
"no","/advisory/value-realization","ValueRealizationPage","StandardButton","Calculate realized value","HAS HANDLER","calculate","Frontend\PlantProcess.Web\src\pages\Advisory\ValueRealizationPage.tsx","100"
"no","/advisory/value-realization","ValueRealizationPage","StandardButton","Load sample request","HAS HANDLER","() => void refresh()","Frontend\PlantProcess.Web\src\pages\Advisory\ValueRealizationPage.tsx","101"
"no","/commercial/license","LicenseUsagePanel","StandardButton","Retry","HAS HANDLER","() => void refresh()","Frontend\PlantProcess.Web\src\components\license\LicenseUsagePanel.tsx","32"
"no","/correlations","MaterialAnalyticsPages","StandardButton","(no label)","HAS HANDLER","() => onDrilldown?.(row)","Frontend\PlantProcess.Web\src\pages\MaterialAnalytics\MaterialAnalyticsPages.tsx","302"
"no","/correlations","MaterialAnalyticsPages","StandardButton","Refresh dashboard","HAS HANDLER","workspace.reload","Frontend\PlantProcess.Web\src\pages\MaterialAnalytics\MaterialAnalyticsPages.tsx","369"
"no","/correlations","MaterialAnalyticsPages","StandardButton","Search","HAS HANDLER","materials.reload","Frontend\PlantProcess.Web\src\pages\MaterialAnalytics\MaterialAnalyticsPages.tsx","487"
"no","/correlations","MaterialAnalyticsPages","StandardButton","Save Investigation","HAS HANDLER","() => setSaveOpen(true)","Frontend\PlantProcess.Web\src\pages\MaterialAnalytics\MaterialAnalyticsPages.tsx","488"
"no","/correlations","MaterialAnalyticsPages","StandardButton","Share","HAS HANDLER","() => void navigator.clipboard?.writeText(window.location.href)","Frontend\PlantProcess.Web\src\pages\MaterialAnalytics\MaterialAnalyticsPages.tsx","489"
"no","/correlations","MaterialAnalyticsPages","StandardButton","Calculate Risk","HAS HANDLER","() => selectedMaterialId && productApi.calculateRisk(selectedMaterialId)","Frontend\PlantProcess.Web\src\pages\MaterialAnalytics\MaterialAnalyticsPages.tsx","520"
"no","/correlations","MaterialAnalyticsPages","StandardButton","Cancel","HAS HANDLER","() => setSaveOpen(false)","Frontend\PlantProcess.Web\src\pages\MaterialAnalytics\MaterialAnalyticsPages.tsx","542"
"no","/correlations","MaterialAnalyticsPages","StandardButton","Save view","HAS HANDLER","() => setSaveOpen(false)","Frontend\PlantProcess.Web\src\pages\MaterialAnalytics\MaterialAnalyticsPages.tsx","543"
"no","/correlations","MaterialAnalyticsPages","StandardButton","(no label)","HAS HANDLER","() => setRiskClass(item)","Frontend\PlantProcess.Web\src\pages\MaterialAnalytics\MaterialAnalyticsPages.tsx","575"
"no","/correlations","MaterialAnalyticsPages","StandardButton","Refresh","HAS HANDLER","risk.reload","Frontend\PlantProcess.Web\src\pages\MaterialAnalytics\MaterialAnalyticsPages.tsx","579"
"no","/correlations","MaterialAnalyticsPages","StandardButton","Refresh findings","HAS HANDLER","dataQuality.reload","Frontend\PlantProcess.Web\src\pages\MaterialAnalytics\MaterialAnalyticsPages.tsx","638"
"no","/correlations","MaterialAnalyticsPages","StandardButton","Run correlation","HAS HANDLER","correlation.reload","Frontend\PlantProcess.Web\src\pages\MaterialAnalytics\MaterialAnalyticsPages.tsx","717"
"no","/correlations","MaterialAnalyticsPages","StandardButton","Run training gate check","HAS HANDLER","ensureJobs","Frontend\PlantProcess.Web\src\pages\MaterialAnalytics\MaterialAnalyticsPages.tsx","796"
"no","/correlations","MaterialAnalyticsPages","StandardButton","(no label)","HAS HANDLER","() => setTier(item)","Frontend\PlantProcess.Web\src\pages\MaterialAnalytics\MaterialAnalyticsPages.tsx","853"
"no","/correlations","MaterialAnalyticsPages","StandardButton","Refresh admin","HAS HANDLER","admin.reload","Frontend\PlantProcess.Web\src\pages\MaterialAnalytics\MaterialAnalyticsPages.tsx","951"
"no","/correlations","SaveInspectionJobModal","StandardButton","Cancel","HAS HANDLER","onClose","Frontend\PlantProcess.Web\src\components\inspection\SaveInspectionJobModal.tsx","71"
"no","/correlations","SaveInspectionJobModal","StandardButton","Save Investigation","HAS HANDLER","submit","Frontend\PlantProcess.Web\src\components\inspection\SaveInspectionJobModal.tsx","72"
"no","/correlations","SaveInspectionJobModal","StandardP2Input","(no label)","HAS HANDLER","(event) => setNotifyOnChange(event.target.checked)","Frontend\PlantProcess.Web\src\components\inspection\SaveInspectionJobModal.tsx","91"
