"onDemoPath","route","page","controlType","label","classification","handler","file","line"
"YES","/author-mapping","AuthorMappingPage","StandardButton","Save mapping","HAS HANDLER","onSave","Frontend\PlantProcess.Web\src\pages\DataIntegration\AuthorMappingPage.tsx","321"
"YES","/author-mapping","AuthorMappingPage","StandardButton","Execute projection","HAS HANDLER","onExecute","Frontend\PlantProcess.Web\src\pages\DataIntegration\AuthorMappingPage.tsx","324"
"YES","/connections","AdminSharedComponents","StandardButton","(no label)","HAS HANDLER","() => setOpen((o) => !o)","Frontend\PlantProcess.Web\src\pages\Admin\AdminSharedComponents.tsx","60"
"YES","/connections","DataIntegrationLayout","StandardButton","Refresh","HAS HANDLER","() => void refresh()","Frontend\PlantProcess.Web\src\pages\DataIntegration\DataIntegrationLayout.tsx","78"
"YES","/connections","StandardButton","button","(no label)","HAS HANDLER","onClick as ButtonHTMLAttributes<HTMLButtonElement>[""onClick""]","Frontend\PlantProcess.Web\src\components\standard\StandardButton.tsx","170"
"YES","/dashboard","AssociativePanel","StandardP2Button","(no label)","HAS HANDLER","() => setOpen((o) => !o)","Frontend\PlantProcess.Web\src\components\dashboard\AssociativePanel.tsx","15"
"YES","/dashboard","AssociativePanel","StandardP2Button","(no label)","HAS HANDLER","() => setEnabled(!enabled)","Frontend\PlantProcess.Web\src\components\dashboard\AssociativePanel.tsx","22"
"YES","/dashboard","AssociativePanel","StandardP2Button","(no label)","HAS HANDLER","() => toggleValue(fa.field.key, v)","Frontend\PlantProcess.Web\src\components\dashboard\AssociativePanel.tsx","42"
"YES","/dashboard","ChartExtras","StandardP2Button","(no label)","HAS HANDLER","() => toggle(d.cat)","Frontend\PlantProcess.Web\src\components\dashboard\ChartExtras.tsx","90"
"YES","/dashboard","DashboardFilterBar","StandardP2Select","(no label)","HAS HANDLER","(e) => onChange(e.target.value)","Frontend\PlantProcess.Web\src\components\DashboardFilterBar.tsx","50"
"YES","/dashboard","DashboardFilterBar","StandardP2Input","(no label)","HAS HANDLER","(e) => onChange(e.target.value)","Frontend\PlantProcess.Web\src\components\DashboardFilterBar.tsx","86"
"YES","/dashboard","DashboardFilterBar","StandardButton","Clear all filters","HAS HANDLER","clearAllFilters","Frontend\PlantProcess.Web\src\components\DashboardFilterBar.tsx","132"
"YES","/dashboard","DashboardWidgetCard","StandardButton","(no label)","HAS HANDLER","() => setWidgetChartType(widgetId, ct)","Frontend\PlantProcess.Web\src\components\dashboard\DashboardWidgetCard.tsx","186"
"YES","/dashboard","DashboardWidgetCard","StandardButton","Full-row width","HAS HANDLER","() => expandWidgetToFullRow(gridItemId)","Frontend\PlantProcess.Web\src\components\dashboard\DashboardWidgetCard.tsx","200"
"YES","/dashboard","DashboardWidgetCard","StandardButton","Compact size","HAS HANDLER","() => compactWidget(gridItemId)","Frontend\PlantProcess.Web\src\components\dashboard\DashboardWidgetCard.tsx","211"
"YES","/dashboard","DashboardWidgetCard","StandardButton","Export CSV","HAS HANDLER","exportCsv","Frontend\PlantProcess.Web\src\components\dashboard\DashboardWidgetCard.tsx","222"
"YES","/dashboard","DashboardWidgetCard","StandardButton","(no label)","HAS HANDLER","() => setIsCollapsed((v) => !v)","Frontend\PlantProcess.Web\src\components\dashboard\DashboardWidgetCard.tsx","234"
