"RelativePath","Category","CategoryTitle","Classification","Extension","Lines","SizeBytes","SizeKB","LastWriteTime"
"Backend\PlantProcess.Api\Endpoints\Analytics\MlFoundationEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","359","12560","12.27","6/2/2026 1:37:56 AM"
"Backend\PlantProcess.Api\Endpoints\Analytics\MlLearningEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","306","9467","9.25","6/3/2026 7:54:00 AM"
"Backend\PlantProcess.Api\Endpoints\Analytics\MlProviderEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","62","2318","2.26","5/31/2026 12:39:01 PM"
"Backend\PlantProcess.Api\Endpoints\Analytics\MlReadinessEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","87","3314","3.24","5/21/2026 4:22:19 PM"
"Backend\PlantProcess.Api\Endpoints\Analytics\Phase2InvestigationEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","600","20759","20.27","6/3/2026 7:54:00 AM"
"Backend\PlantProcess.Api\Endpoints\Analytics\ProvenanceGuardedAdvancedResultsEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","78","3413","3.33","6/2/2026 6:44:09 PM"
"Backend\PlantProcess.Api\Endpoints\Analytics\ReadModelEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","77","4310","4.21","6/2/2026 1:31:39 PM"
"Backend\PlantProcess.Api\Endpoints\Analytics\RiskCalibrationEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","22","884","0.86","6/2/2026 6:44:11 PM"
"Backend\PlantProcess.Api\Endpoints\Analytics\RiskEvidenceEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","59","2448","2.39","6/2/2026 6:44:11 PM"
"Backend\PlantProcess.Api\Endpoints\Analytics\RiskScoreEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","251","9327","9.11","6/3/2026 7:54:00 AM"
"Backend\PlantProcess.Api\Endpoints\Analytics\SimpleAnalysisEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","115","6076","5.93","6/2/2026 1:31:40 PM"
"Backend\PlantProcess.Api\Endpoints\Analytics\SuggestionEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","66","2921","2.85","6/3/2026 7:54:00 AM"
"Backend\PlantProcess.Api\Endpoints\Analytics\ValueEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","85","4331","4.23","6/4/2026 9:13:14 AM"
"Backend\PlantProcess.Api\Endpoints\Assistant\AssistantEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","54","2406","2.35","6/3/2026 7:54:00 AM"
"Backend\PlantProcess.Api\Endpoints\Configuration\ConfigurationEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","572","22906","22.37","6/3/2026 7:54:00 AM"
"Backend\PlantProcess.Api\Endpoints\Dashboarding\DashboardEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","719","27867","27.21","5/25/2026 3:33:04 PM"
"Backend\PlantProcess.Api\Endpoints\DataQuality\DataQualityEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","164","5817","5.68","6/3/2026 7:54:00 AM"
"Backend\PlantProcess.Api\Endpoints\DataQuality\DataQualityScanEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","195","7404","7.23","5/25/2026 11:24:51 AM"
"Backend\PlantProcess.Api\Endpoints\Demo\DemoLifecycleEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","414","15297","14.94","5/30/2026 11:46:46 AM"
"Backend\PlantProcess.Api\Endpoints\Development\DevSeedEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","94","4263","4.16","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Api\Endpoints\Diagnostics\DiagnosticsEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","91","3892","3.8","5/22/2026 11:12:56 PM"
"Backend\PlantProcess.Api\Endpoints\DynamicContent\DynamicContentEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","147","5451","5.32","5/30/2026 11:44:13 AM"
"Backend\PlantProcess.Api\Endpoints\Health\HealthEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","237","8529","8.33","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Api\Endpoints\Integration\ImportWorkflowEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","96","3852","3.76","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Api\Endpoints\Integration\IntegrationEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","695","27031","26.4","6/3/2026 7:54:00 AM"
"Backend\PlantProcess.Api\Endpoints\Materials\MaterialEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","296","10413","10.17","6/3/2026 7:54:00 AM"
"Backend\PlantProcess.Api\Endpoints\Materials\MaterialInvestigationEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","390","14085","13.75","6/3/2026 7:54:00 AM"
"Backend\PlantProcess.Api\Endpoints\PageBuilder\PageDefinitionEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","425","15375","15.01","6/3/2026 7:54:00 AM"
"Backend\PlantProcess.Api\Endpoints\Phase2\Phase2LifecycleProofEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","482","23098","22.56","5/31/2026 4:44:23 PM"
"Backend\PlantProcess.Api\Endpoints\Phase45\Phase45ClosureEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","602","35097","34.27","5/31/2026 4:48:53 PM"
"Backend\PlantProcess.Api\Endpoints\PlantLayout\PlantLayoutEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","256","9703","9.48","6/3/2026 7:54:00 AM"
"Backend\PlantProcess.Api\Endpoints\Process\ProcessEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","764","29455","28.76","6/3/2026 7:54:00 AM"
"Backend\PlantProcess.Api\Endpoints\Quality\QualityEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","259","8785","8.58","6/3/2026 7:54:00 AM"
"Backend\PlantProcess.Api\Endpoints\Reporting\CustomerDemoReportEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","262","11720","11.45","5/25/2026 11:47:19 AM"
"Backend\PlantProcess.Api\Endpoints\Reporting\ReportingEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","171","6440","6.29","5/21/2026 3:36:50 PM"
"Backend\PlantProcess.Api\Endpoints\Validation\ValidationEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","274","9960","9.73","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Api\Endpoints\Workflow\WorkflowEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","1031","40470","39.52","6/3/2026 7:54:00 AM"
"Backend\PlantProcess.Api\EnterpriseIdentity\V5EnterpriseIdentityEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".cs","958","35938","35.1","6/3/2026 2:34:30 PM"
"Backend\PlantProcess.Api\EnterpriseSsoScim\V5EnterpriseSsoScimEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".cs","858","31873","31.13","6/3/2026 2:39:29 PM"
"Backend\PlantProcess.Api\EnterpriseSsoScim\V5IdentityRuntimeCertificationEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".cs","880","31691","30.95","6/3/2026 4:12:18 PM"
"Backend\PlantProcess.Api\ErrorHandling\ApplicationProblems.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".cs","28","1686","1.65","6/3/2026 12:28:29 AM"
"Backend\PlantProcess.Api\ErrorHandling\GlobalExceptionHandler.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".cs","80","3254","3.18","6/3/2026 12:28:29 AM"
"Backend\PlantProcess.Api\Extensions\ApplicationResultHttpExtensions.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".cs","61","2182","2.13","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Api\Extensions\LicenseEndpointExtensions.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".cs","22","673","0.66","5/21/2026 3:25:03 PM"
"Backend\PlantProcess.Api\Filter\LicenseFeatureEndpointFilter.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".cs","28","875","0.85","5/21/2026 3:24:44 PM"
"Backend\PlantProcess.Api\Hosting\ReadModelRefreshHostedService.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".cs","104","4341","4.24","6/4/2026 1:19:36 AM"
"Backend\PlantProcess.Api\Middleware\AuditLogMiddleware.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","API Middleware",".cs","230","8291","8.1","5/22/2026 11:12:56 PM"
"Backend\PlantProcess.Api\Middleware\CorrelationIdMiddleware.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","API Middleware",".cs","67","3206","3.13","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Api\Middleware\RequestResponseLoggingMiddleware.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","API Middleware",".cs","125","4478","4.37","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Api\Middleware\SecurityHeadersMiddleware.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","API Middleware",".cs","39","1436","1.4","6/3/2026 12:28:30 AM"
"Backend\PlantProcess.Api\Options\PlantProcessOptions.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".cs","16","487","0.48","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Api\OutboundLeadSystem\V5OutboundLeadSystemEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".cs","737","27112","26.48","6/3/2026 2:55:19 PM"
"Backend\PlantProcess.Api\PlantConnectors\V5ConnectorRuntimeCertificationEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".cs","906","33562","32.78","6/3/2026 4:25:32 PM"
"Backend\PlantProcess.Api\PlantConnectors\V5PlantConnectorEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".cs","642","22681","22.15","6/3/2026 2:41:36 PM"
"Backend\PlantProcess.Api\PlantProcess.Api.csproj","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".csproj","35","1690","1.65","6/3/2026 3:56:42 PM"
"Backend\PlantProcess.Api\PlantProcess.Api.http","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".http","6","145","0.14","5/6/2026 8:48:35 PM"
"Backend\PlantProcess.Api\PlantProcess.PhaseH_I.http","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".http","56","1303","1.27","5/11/2026 3:36:51 PM"
"Backend\PlantProcess.Api\Program.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".cs","568","46477","45.39","6/4/2026 10:27:29 AM"
"Backend\PlantProcess.Api\Properties\launchSettings.json","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".json","38","1608","1.57","5/30/2026 4:02:37 PM"
"Backend\PlantProcess.Api\Security\AuthEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","API Security/Auth",".cs","367","14117","13.79","6/3/2026 7:54:00 AM"
"Backend\PlantProcess.Api\Security\AuthOptions.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","API Security/Auth",".cs","56","2156","2.11","6/4/2026 8:47:07 AM"
"Backend\PlantProcess.Api\Security\AuthStore.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","API Security/Auth",".cs","452","14961","14.61","6/3/2026 1:28:54 PM"
"Backend\PlantProcess.Api\Security\FirstRunProvisioningHostedService.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","API Security/Auth",".cs","79","2403","2.35","6/1/2026 2:55:50 PM"
"Backend\PlantProcess.Api\Security\HttpTenantAccessor.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","API Security/Auth",".cs","15","602","0.59","6/3/2026 1:21:01 AM"
